"preditor","predicao_xgboost","predicao_rsf","prob_teorica"
1,0.63763689994812,0.683586100905431,0.677600581416428
1,NA,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.577245235443115,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,NA,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,NA,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,NA,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,NA,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
1,NA,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,NA,0.683586100905431,0.677600581416428
1,NA,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,NA,0.73257228682552,0.714691441186324
1,0.577245235443115,0.683586100905431,0.677600581416428
0,0.577245235443115,0.73257228682552,0.714691441186324
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,NA,0.683586100905431,0.677600581416428
1,NA,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.577245235443115,0.73257228682552,0.714691441186324
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,NA,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,NA,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.577245235443115,0.73257228682552,0.714691441186324
1,0.577245235443115,0.683586100905431,0.677600581416428
0,0.577245235443115,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
1,NA,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
0,0.63763689994812,0.73257228682552,0.714691441186324
0,0.577245235443115,0.73257228682552,0.714691441186324
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
0,NA,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.63763689994812,0.73257228682552,0.714691441186324
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.577245235443115,0.683586100905431,0.677600581416428
1,0.63763689994812,0.683586100905431,0.677600581416428
0,0.577245235443115,0.73257228682552,0.714691441186324
0,0.577245235443115,0.73257228682552,0.714691441186324
1,0.63763689994812,0.683586100905431,0.677600581416428
